Contraction:avg_deg,Contraction:in_n,Contraction:largest_clique,Contraction:max_deg,Contraction:out_n,Contraction:time,GraphInput:girg_options,GraphInput:graph,GraphInput:m,GraphInput:n,GraphInput:n_gen,GraphInput:option,GraphInput:time,PartLargestBag:max_partition_num,PartLargestBag:max_weight,PartLargestBag:mean_partition_num,PartLargestBag:median_partition_num,PartLargestBag:partition_option,PartLargestBag:time,Partition:AssignVertices:option,Partition:AssignVertices:time,Partition:MaximalIS:option,Partition:MaximalIS:size,Partition:MaximalIS:time,Partition:amount,Partition:average,Partition:hs_size,Partition:largest,Partition:median,Partition:num_branching,Partition:num_dead_end,Partition:num_lb2_reductions,Partition:num_lb_reductions,Partition:num_leaves,Partition:num_long_paths,Partition:num_sw_reductions,Partition:option,Partition:product_weight,Partition:smallest,Partition:time,PartitionBags:max_partition_num,PartitionBags:max_weight,PartitionBags:mean_partition_num,PartitionBags:median_partition_num,PartitionBags:partition_option,PartitionBags:time,Treewidth:clique_number,Treewidth:num_bags,Treewidth:option,Treewidth:time,Treewidth:treewidth,WeightedTreewidth:elimination_width,WeightedTreewidth:option,WeightedTreewidth:time,WeightedTreewidth:time_elimination_game,WeightedTreewidth:treewidth,option,time
,,,,,,,DD_g94,1143,383,,ReadEL,0.003514,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16.094737505048094,3.3275862068965516,3.0,Partition(FastLargestClique),0.04781,5,290,HTD,0.250433,19,,,,,,PartitionTreedec,0.302041
,,,,,,,DD_g950,423,196,,ReadEL,0.004969,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10.339850002884624,2.9878048780487805,2.5,Partition(FastLargestClique),0.026182,5,164,HTD,0.006944,11,,,,,,PartitionTreedec,0.038303
,,,,,,,DD_g951,709,291,,ReadEL,0.004582,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11.92481250360578,2.827731092436975,2.0,Partition(FastLargestClique),0.033911,5,238,HTD,0.008933,13,,,,,,PartitionTreedec,0.047651
,,,,,,,DD_g952,366,128,,ReadEL,0.003009,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8.0,2.9320388349514563,3.0,Partition(FastLargestClique),0.01708,5,103,HTD,0.012351,9,,,,,,PartitionTreedec,0.032646
,,,,,,,DD_g953,374,166,,ReadEL,0.002856,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9.339850002884624,2.6911764705882355,2.0,Partition(FastLargestClique),0.020225,5,136,HTD,0.006051,10,,,,,,PartitionTreedec,0.029345
,,,,,,,DD_g954,284,127,,ReadEL,0.002592,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10.169925001442312,2.6354166666666665,2.0,Partition(FastLargestClique),0.014854,5,96,HTD,0.010807,10,,,,,,PartitionTreedec,0.028458
,,,,,,,DD_g955,74,33,,ReadEL,0.013837,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.321928094887362,1.2083333333333333,1.0,Partition(FastLargestClique),0.001365,4,24,HTD,0.017423,4,,,,,,PartitionTreedec,0.032838
,,,,,,,DD_g956,539,237,,ReadEL,0.002352,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14.509775004326936,3.1770833333333335,3.0,Partition(FastLargestClique),0.04686,5,192,HTD,0.006911,16,,,,,,PartitionTreedec,0.056332
,,,,,,,DD_g957,847,336,,ReadEL,0.01867,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13.339850002884624,3.1636363636363636,3.0,Partition(FastLargestClique),0.045671,5,275,HTD,0.010871,15,,,,,,PartitionTreedec,0.075429
,,,,,,,DD_g958,363,126,,ReadEL,0.00192,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12.339850002884624,3.2421052631578946,3.0,Partition(FastLargestClique),0.01619,5,95,HTD,0.008653,14,,,,,,PartitionTreedec,0.02698
,,,,,,,DD_g959,389,154,,ReadEL,0.014911,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.0,2.1666666666666665,2.0,Partition(FastLargestClique),0.016659,5,120,HTD,0.007956,6,,,,,,PartitionTreedec,0.039739
,,,,,,,DD_g95,1330,416,,ReadEL,0.003486,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20.339850002884624,3.3878205128205128,3.0,Partition(FastLargestClique),0.272541,5,312,HTD,0.044965,24,,,,,,PartitionTreedec,0.321238
,,,,,,,DD_g960,1240,517,,ReadEL,0.016391,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,22.094737505048094,3.4075829383886256,3.0,Partition(FastLargestClique),0.064034,5,422,HTD,0.014654,24,,,,,,PartitionTreedec,0.095368
,,,,,,,DD_g961,463,192,,ReadEL,0.010427,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.169925001442312,2.664516129032258,2.0,Partition(FastLargestClique),0.039081,5,155,HTD,0.009904,8,,,,,,PartitionTreedec,0.059619
,,,,,,,DD_g962,573,217,,ReadEL,0.005484,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8.0,2.6436781609195403,2.0,Partition(FastLargestClique),0.026595,5,174,HTD,0.012604,8,,,,,,PartitionTreedec,0.044897
,,,,,,,DD_g963,1376,589,,ReadEL,0.011386,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16.75488750216347,3.173277661795407,2.0,Partition(FastLargestClique),0.072067,5,479,HTD,0.09404,17,,,,,,PartitionTreedec,0.177763
,,,,,,,DD_g964,205,78,,ReadEL,0.001478,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.754887502163468,2.721311475409836,3.0,Partition(FastLargestClique),0.009742,5,61,HTD,0.008647,9,,,,,,PartitionTreedec,0.020073
,,,,,,,DD_g965,920,353,,ReadEL,0.003465,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,16.92481250360578,3.81021897810219,3.0,Partition(FastLargestClique),0.128122,5,274,HTD,0.032715,18,,,,,,PartitionTreedec,0.1646
,,,,,,,DD_g966,470,169,,ReadEL,0.004272,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14.92481250360578,3.1526717557251906,2.0,Partition(FastLargestClique),0.021613,5,131,HTD,0.006284,17,,,,,,PartitionTreedec,0.032384
,,,,,,,DD_g967,426,187,,ReadEL,0.005415,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12.754887502163468,2.8627450980392157,2.0,Partition(FastLargestClique),0.022593,5,153,HTD,0.006434,13,,,,,,PartitionTreedec,0.034657
,,,,,,,DD_g968,756,299,,ReadEL,0.006057,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,14.92481250360578,3.2594142259414225,3.0,Partition(FastLargestClique),0.038766,5,239,HTD,0.011343,17,,,,,,PartitionTreedec,0.056382
,,,,,,,DD_g969,383,146,,ReadEL,0.001928,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.584962500721156,2.201923076923077,2.0,Partition(FastLargestClique),0.014484,5,104,HTD,0.007329,6,,,,,,PartitionTreedec,0.023948
,,,,,,,DD_g96,1130,413,,ReadEL,0.007237,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,19.509775004326936,3.479750778816199,3.0,Partition(FastLargestClique),0.052047,5,321,HTD,0.018121,22,,,,,,PartitionTreedec,0.077679
,,,,,,,DD_g970,345,162,,ReadEL,0.001665,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.754887502163468,2.8518518518518516,2.0,Partition(FastLargestClique),0.02007,5,135,HTD,0.009572,10,,,,,,PartitionTreedec,0.031518
,,,,,,,DD_g971,309,133,,ReadEL,0.005096,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,11.754887502163468,3.144144144144144,3.0,Partition(FastLargestClique),0.017147,4,111,HTD,0.010142,12,,,,,,PartitionTreedec,0.032596
,,,,,,,DD_g972,791,329,,ReadEL,0.00191,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12.339850002884624,2.9291044776119404,2.0,Partition(FastLargestClique),0.040679,5,268,HTD,0.008824,14,,,,,,PartitionTreedec,0.051634
,,,,,,,DD_g973,853,367,,ReadEL,0.018421,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15.92481250360578,3.2356902356902357,3.0,Partition(FastLargestClique),0.048329,5,297,HTD,0.025677,17,,,,,,PartitionTreedec,0.092647
,,,,,,,DD_g974,924,371,,ReadEL,0.002466,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.169925001442312,2.9967637540453076,2.0,Partition(FastLargestClique),0.046763,5,309,HTD,0.01297,14,,,,,,PartitionTreedec,0.062496
,,,,,,,DD_g975,397,154,,ReadEL,0.018247,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.754887502163468,2.563025210084034,2.0,Partition(FastLargestClique),0.018011,5,119,HTD,0.008881,8,,,,,,PartitionTreedec,0.045354
,,,,,,,DD_g976,351,113,,ReadEL,0.003522,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7.754887502163468,2.550561797752809,2.0,Partition(FastLargestClique),0.013407,5,89,HTD,0.005553,9,,,,,,PartitionTreedec,0.022695
,,,,,,,DD_g977,294,125,,ReadEL,0.001513,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9.169925001442312,2.895238095238095,3.0,Partition(FastLargestClique),0.016767,5,105,HTD,0.005621,9,,,,,,PartitionTreedec,0.024108
,,,,,,,DD_g978,154,62,,ReadEL,0.021182,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.0,1.553191489361702,1.0,Partition(FastLargestClique),0.004315,5,47,HTD,0.007597,4,,,,,,PartitionTreedec,0.033302
,,,,,,,DD_g979,224,102,,ReadEL,0.003112,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.754887502163468,2.7875,2.0,Partition(FastLargestClique),0.012334,5,80,HTD,0.006004,9,,,,,,PartitionTreedec,0.021657
,,,,,,,DD_g97,493,212,,ReadEL,0.001593,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,12.339850002884624,2.8926553672316384,2.0,Partition(FastLargestClique),0.027583,5,177,HTD,0.006795,13,,,,,,PartitionTreedec,0.036186
,,,,,,,DD_g980,171,78,,ReadEL,0.00341,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6.584962500721156,2.671875,2.0,Partition(FastLargestClique),0.010078,5,64,HTD,0.00627,7,,,,,,PartitionTreedec,0.019977
,,,,,,,DD_g981,363,162,,ReadEL,0.004596,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.321928094887362,2.511278195488722,2.0,Partition(FastLargestClique),0.020263,4,133,HTD,0.007873,8,,,,,,PartitionTreedec,0.032947
,,,,,,,DD_g982,411,149,,ReadEL,0.005762,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8.584962500721156,2.4274193548387095,2.0,Partition(FastLargestClique),0.016907,5,124,HTD,0.007628,9,,,,,,PartitionTreedec,0.030509
,,,,,,,DD_g983,417,172,,ReadEL,0.001444,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13.584962500721156,3.0072992700729926,3.0,Partition(FastLargestClique),0.02061,4,137,HTD,0.00643,13,,,,,,PartitionTreedec,0.028696
,,,,,,,DD_g984,371,140,,ReadEL,0.003912,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13.754887502163468,3.2818181818181817,3.0,Partition(FastLargestClique),0.019754,5,110,HTD,0.011129,15,,,,,,PartitionTreedec,0.035007
